country,port_name,locode
Spain,A Coruna,ESLCG
Egypt,Abu Qir,EGAKI
Spain,Agaete,ESAGA
Japan,Aikakita,JPAKI
Iceland,Akranes,ISAKR
Qatar,Al Wakrah,QAWAK
Portugal,Alges,PTAGS
Argentina,Alvear,ARAVR
Canada,Amherstburg,CAAMH
Italy,Ancona,ITAOI
Canada,Annacis Island,CAANI
China,Aojiang,CNAJG
Norway,Ardal,NOAAN
United Kingdom (UK),Arinagour,GBAGO
Iran,Asaluyeh,IRASA
Russia,Astrakhan,RUASF
Norway,Aukra,NOAUK
Greece,Ayia Trias,GRATR
Guadeloupe,Baie Mahault,GPBMH
United Kingdom (UK),Ballywalter,GBLYW
Turkey,Bandirma,TRBDM
Spain,Barbate,ESBDF
United Kingdom (UK),Barry Dock,GBBAD
Norway,Batsfjord,NOBJF
Canada,Beauharnois,CABHA
United States (USA),Belford,USQBF
Germany,Bensersiel,DEBEN
Netherlands,Beverwijk,NLBEV
Malaysia,"Bintulu, Sarawak",MYBTU
Belgium,Blankenberge,BEBBG
Norway,Bogen,NOBOG
Canada,Borden,CABOR
France,Boulogne-sur-Mer,FRBOL
Croatia,Brbinj,HRBRB
United Kingdom (UK),Bristol,GBBRS
Belgium,Brugge (Bruges),BEBGS
Norway,Bugoynes,NOBUG
United Kingdom (UK),Burnham on Crouch,GBBOC
Sweden,Byxelkrok,SEBYX
Portugal,Cais do Pico,PTCDP
Mexico,Calica,MXPVN
St Vincent & Grenadines,Campden Park Bay,VCCRP
Portugal,Caparica,PTCPC
Canada,Cardinal,CACDN
Dominican Rep,Casa de Campo,DOCDC
Italy,Catania,ITCTA
Indonesia,Celukan Bawang,IDCEB
China,Changxindao,CNCXD
Turkmenistan,Cheleken,TMCHE
Japan,Chinase,JPCNS
Canada,Churchill,CACHV
United States (USA),Clarkston,USCKL
Equatorial Guinea,Cogo,GQCOG
United States (USA),Conneaut,USCDY
Chile,Coronel,CLCNL
United Kingdom (UK),Craighouse,GBCGJ
Vietnam,Culao,VNCLO
United Kingdom (UK),Dagenham,GBDAG
Korea,Dangjin,KRTJI
United States (USA),De Tour Village,USDT4
Australia,Derby,AUDRB
Russia,Dikson,RUDKS
United States (USA),Donaldsonville,USDNA
Norway,Drammen,NODRM
United Kingdom (UK),Dunbar,GBDBR
United States (USA),Dutch Harbor,USDUT
United States (USA),Edmonds,USEOW
Nicaragua,El Bluff,NIELB
Sweden,Ellos,SEELO
Turkey,Erdek,TRERK
Japan,Etajima,JPETA
Puerto Rico,Fajardo,PRFAJ
United Arab Emirates (UAE),Fateh Term.,AEFAT
Norway,Fevik,NOFEV
Norway,Flekkefjord,NOFFD
Canada,Forestville,CAFRV
United States (USA),Frankfort,USFNF
Faeroe Islands,Fuglafjordur,FOFUG
United Kingdom (UK),Furnace,GBFUR
United Kingdom (UK),"Galmisdale, Eigg",GBGAS
Poland,Gdansk,PLGDN
Canada,Georgetown,CAGGW
Italy,Gioia Tauro,ITGIT
Faeroe Islands,Glyvrar,FOGLY
India,Gopalpur,INGPR
Canada,Grand Manan,CAGMA
Bahamas,Green Turtle Cay,BSGTC
Sweden,Grisslehamn,SEGRH
Puerto Rico,Guanica,PRGUX
China,Gulei,CNGUL
Estonia,HUNDIPEA,EEHUN
Japan,Hakodate,JPHKD
Canada,Hamilton,CAHAM
Canada,Harbour Grace,CAHRE
United Kingdom (UK),Hastings,GBHTG
Germany,Heikendorf,DEHED
Montenegro,Hercegnovi,MEHNO
Japan,Hirasawa,JPHSW
Iceland,Hofsos,ISHOF
Solomon Islands,Honiara,SBHIR
Norway,Horten,NOHOR
Chile,Hualaihue,CLHUH
Egypt,Hurghada,EGHRG
Spain,Ibiza,ESIBZ
Norway,Ikornnes,NOIKR
Japan,Inatori,JPINR
United Kingdom (UK),Inverness,GBINV
Chile,Isla Guarello,CLISG
Brazil,Itaqui,BRITQ
Croatia,Jadrija,HRJDR
Croatia,Jelsa,HRJSA
US Minor Outlying Isls,Johnston Atoll,UMJON
United States (USA),Juneau,USJNU
Philippines,Kalamansig,PHKLM
Netherlands,Kampen,NLKAM
Croatia,Kaprije,HRKPR
Norway,Karsto,NOKAR
India,Kattupalli,INKAT
United Kingdom (UK),Keiss,GBKES
Japan,Kesennuma,JPKSN
Greece,Kiato,GRKIO
Greece,Kimi (Kymi),GRKIM
Norway,Kinsarvik,NOKIV
Sweden,Klagshamn,SEKGM
Japan,Kohtsuura,JPKTU
Japan,Koniya,JPKNY
Finland,Kotka,FIKTK
India,Krishnapatnam,INKRI
Japan,Kuji,JPKJI
Turkey,Kusadasi,TRKUS
Greece,Kythira,GRKIT
France,La Pallice,FRLPE
Fiji,Labasa,FJMAL
Canada,Lake Harbour,CALAH
Norway,Larkollen,NOLRK
United Kingdom (UK),Laxo,GBLAX
Greece,Lefkimmi,GRLFK
Haiti,Les Cayes,HTACA
Sweden,Lidkoping,SELDK
Italy,Lipari,ITLIP
Chile,Llanquihue,CLLIA
Togolese Rep,Lome,TGLFW
United States (USA),Lorain,USLOR
Jamaica,Lucea,JMLUC
United Kingdom (UK),Lyme Regis,GBLYR
Brazil,Macapa,BRMCP
United Kingdom (UK),Magilligan Point Ferry Term.,GBMGP
Croatia,Mali Losinj,HRLSZ
Italy,Manfredonia,ITMFR
Argentina,Mar del Plata,ARMDQ
Italy,Marina di Pisa,ITMPA
New Zealand,Marsden Point,NZMAP
Canada,Matane,CAMNE
Canada,Mayne,CAMYE
Panama,Melones Oil Term.,PAMEL
Greece,Methoni,GRMET
Japan,Mikurajima,JPMKR
Germany,Minden,DEMID
Japan,"Miyazaki, Miyazaki",JPKMI
Korea,Mokpo,KRMOK
United States (USA),Monroe,USMOI
Madagascar,Morondava,MGMOQ
United Kingdom (UK),Mousehole,GBMSH
Estonia,Munalaiu,EEMUN
Finland,Mustola,FIMUS
Japan,"Nagahama, Ehime",JPNGH
Japan,"Nakama, Kagoshima",JPNKL
China,Nansha,CNNSA
Nauru,Nauru Island,NRINU
Turkey,Nemrut,TRNEM
United States (USA),New Orleans,USMSY
India,Nhava Sheva,INNSA
Cuba,Niquero,CUNIQ
Sweden,Nordmaling,SENOG
United States (USA),Northport,USZZH
Norway,Nyhamna,NONYH
Canada,Ocean Falls,CAOFA
Japan,"Ohshima, Ehime",JPOSI
Iceland,Olafsvik,ISOLV
Japan,Omon,JPOMN
New Zealand,Opua,NZOPX
Sweden,Ornskoldsvik,SEOER
United States (USA),Ostrica,USOST
Sweden,Oxelosund,SEOXE
Indonesia,"Palapo, Sulawesi",IDPPO
Panama,Panama Canal,PAPCN
India,Paradip Garh,INPRT
Canada,Paspebiac,CAPAS
Isle of Man,Peel,IMPEL
United Kingdom (UK),Penryn,GBPRY
United States (USA),Philadelphia,USPHL
Sweden,Pitea,SEPIT
United States (USA),Point Comfort,USPCR
Indonesia,"Pomalaa, Sulawesi",IDPUM
Greece,Poros Trizinias,GRPTR
United States (USA),Port Clinton,USPCN
United States (USA),Port Hadlock,USABC
Mauritius,Port Louis,MUPLU
South Africa,Port Nolloth,ZANOL
United States (USA),Port Sulphur,USSUL
France,Port-la-Nouvelle,FRNOU
Angola,Porto Alexandre,AOPLE
Brazil,Porto Seguro,BRBPS
United Kingdom (UK),Portsoy,GBPSY
Australia,Prelude Term.,AUPRL
United States (USA),Provincetown,USPVC
Spain,Puerto De Salinetas,ESSAT
Dominican Rep,Puerto Plata,DOPOP
Canada,Pugwash,CAPUG
Chile,Puqueldon,CLPQD
Canada,Quebec,CAQUE
Papua New Guinea,Rabaul,PGRAB
Denmark,Randers,DKRAN
Croatia,Rasa,HRRAS
Germany,Rendsburg,DEREN
United States (USA),Richmond,USRCH
Brazil,Rio Grande,BRRIG
Italy,Roccella Ionica,ITROC
Estonia,Rohuneeme,EERON
France,Roscoff,FRROS
Australia,Rottnest Island,AURTS
Japan,Ryohshida,JPRYS
Egypt,Safaga,EGSGA
United States (USA),Saint Clair Shores,USCS4
United States (USA),Saint Petersburg,USPIE
Japan,Saizaki,JPSSK
United States (USA),Salem,USSEM
Papua New Guinea,Samarai,PGSQT
United States (USA),San Diego,USSAN
Argentina,San Lorenzo,ARSLO
Malaysia,"Sandakan, Sabah",MYSDK
Spain,Santa Cruz de Tenerife,ESSCT
Sao Tome & Principe,Santo Antonio,STSAA
Japan,Sasebo,JPSSB
United Kingdom (UK),Scalpay Pier,GBSCC
Slovenia,Secovlje,SISEC
Norway,Senjehopen,NOSJH
Tunisia,Sfax,TNSFA
Canada,Shelburne,CASBU
Japan,Shimotsui,JPSTI
Kuwait,Shuaiba,KWSAA
Greece,Sikinos,GRSII
Aruba,Sint Nicolaas,AWSNL
Faeroe Islands,Skali,FOSKA
Greece,Skiros,GRSKU
Netherlands,Sliedrecht,NLSLD
Sweden,Solvesborg,SESOL
Faeroe Islands,Sorvagur,FOSRV
Bulgaria,Sozopol,BGSOZ
Germany,Stade,DESTA
Norway,Steinshamn,NOSTH
Iceland,Stokkseyri,ISSTK
Denmark,Strandby,DKSTD
United States (USA),Sturgeon Bay,USSUE
Norway,Sund,NOSND
Thailand,Surat Thani,THURT
Poland,Swinoujscie,PLSWI
United States (USA),Taft,USTFT
Japan,Takehara,JPTHR
Philippines,Tandoc,PHTDC
Estonia,Tapurla,EETPL
United Kingdom (UK),Tayvallich,GBTLI
Brazil,Termisa Terminal,BRTET
New Caledonia,Thio,NCTHI
Russia,Tilichiki,RUTIL
Libya,Tobruk,LYTOB
Iran,Tombak,IRTMB
Turkey,Toros Gubre Terminal,TRTGT
Japan,"Toyohama, Aichi",JPTYJ
United States (USA),Trenton,USTTN
United Kingdom (UK),Truro,GBTRU
Sweden,Tunadal,SETUN
Japan,Ube,JPUBJ
Norway,Ulsteinvik,NOULS
Argentina,Ushuaia,ARUSH
Panama,Vacamonte,PAVAC
Canada,Valleyfield,CAVLF
Cyprus,Vasilikos,CYVAS
Latvia,Ventspils,LVVNT
Portugal,Vila Franca do Campo,PTVFC
Spain,Viveiro,ESVIV
Sweden,Vrango,SEVGO
Fiji,Wairiki,FJWAI
United Kingdom (UK),Warrenpoint,GBWPT
Netherlands,Werkendam,NLWKD
United Kingdom (UK),Whitby,GBWTB
United States (USA),Wilmington,USILM
United States (USA),Wrangell,USWRG
Japan,Yamagawa,JPYAM
Russia,Yaroslavl,RUIAR
Japan,Yoshiumi,JPYHI
Japan,Zamami,JPZMM
China,Zhoushan,CNZOS